type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),color,opacity,width,scale,sym,name,desc
T,42.841853000,-106.438170000,5241.7,60.9,-1.7,14.825,330.40,,,,,,,
T,42.841941000,-106.437146000,5220.4,69.3,-1.6,14.878,276.51,,,,,,,
T,42.841885000,-106.433356000,5222.1,81.2,-1.6,15.070,1016.71,,,,,,,
T,42.841869000,-106.432044000,5221.5,84.9,-0.9,15.137,351.94,,,,,,,
T,42.841917000,-106.431245000,5221.5,87.4,-0.1,15.178,215.01,,,,,,,
T,42.842129000,-106.429821000,5220.8,87.4,-0.1,15.251,389.66,,,,,,,
T,42.842569000,-106.426821000,5218.4,85.3,0.1,15.407,820.44,,,,,,,
T,42.842908000,-106.425029000,5220.6,80.5,0.3,15.501,496.25,,,,,,,
T,42.843219000,-106.423892000,5223.5,77.3,0.5,15.562,325.33,,,,,,,
T,42.843666000,-106.422710000,5229.0,74.4,1.0,15.630,356.43,,,,,,,
T,42.843983000,-106.422066000,5232.3,71.9,1.6,15.669,207.80,,,,,,,
T,42.844458000,-106.421200000,5235.6,65.4,1.9,15.724,289.68,,,,,,,
T,42.845001000,-106.420381000,5243.6,58.4,2.2,15.780,295.66,,,,,,,
T,42.845606000,-106.419645000,5250.5,52.5,2.8,15.836,295.95,,,,,,,
T,42.846708000,-106.418662000,5263.4,44.3,3.2,15.927,480.44,,,,,,,
T,42.849261000,-106.416721000,5299.6,36.6,3.4,16.129,1066.19,,,,,,,
T,42.850288000,-106.415959000,5318.8,33.4,3.4,16.210,426.46,,,,,,,
T,42.851028000,-106.415348000,5330.6,31.5,3.2,16.270,315.58,,,,,,,
T,42.851645000,-106.414675000,5339.3,31.1,2.8,16.324,288.34,,,,,,,
T,42.852425000,-106.413736000,5342.0,32.3,1.9,16.396,379.77,,,,,,,
T,42.853188000,-106.412498000,5351.9,38.3,0.1,16.478,433.07,,,,,,,
T,42.853708000,-106.411514000,5351.3,43.6,0.4,16.540,324.88,,,,,,,
T,42.854347000,-106.409863000,5332.8,50.5,-0.5,16.634,500.24,,,,,,,
T,42.854868000,-106.408410000,5346.8,54.9,-2.0,16.717,433.43,,,,,,,
T,42.855269000,-106.407352000,5332.5,58.7,-1.8,16.777,319.14,,,,,,,
T,42.855631000,-106.406470000,5314.3,61.1,-0.5,16.828,270.82,,,,,,,
T,42.856123000,-106.405543000,5318.7,61.1,-2.8,16.886,306.50,,,,,,,
T,42.856587000,-106.404746000,5324.5,59.2,-3.5,16.938,272.53,,,,,,,
T,42.857344000,-106.403954000,5304.1,52.8,-3.7,17.004,348.17,,,,,,,
T,42.858441000,-106.402880000,5273.4,45.9,-4.5,17.097,492.74,,,,,,,
T,42.859422000,-106.401859000,5245.4,41.7,-5.1,17.182,450.32,,,,,,,
T,42.860455000,-106.400762000,5227.8,39.0,-4.5,17.273,477.77,,,,,,,
T,42.860721000,-106.400479000,5227.2,37.1,-3.6,17.296,123.11,,,,,,,
T,42.861164000,-106.399984000,5224.4,37.3,-2.1,17.336,209.01,,,,,,,
T,42.861431000,-106.399618000,5223.1,38.6,-1.1,17.362,138.20,,,,,,,
T,42.861592000,-106.399290000,5223.7,41.0,-0.6,17.382,105.72,,,,,,,
T,42.861730000,-106.398953000,5220.4,46.1,-1.9,17.402,103.41,,,,,,,
T,42.861851000,-106.398550000,5223.4,51.4,-1.1,17.424,116.71,,,,,,,
T,42.861976000,-106.397981000,5212.4,61.1,-2.0,17.454,159.22,,,,,,,
T,42.862045000,-106.397646000,5216.9,67.0,-1.9,17.472,93.27,,,,,,,
T,42.862241000,-106.396560000,5208.2,72.0,-2.4,17.528,299.81,,,,,,,
T,42.862359000,-106.395712000,5203.6,75.2,-1.5,17.572,231.40,,,,,,,
T,42.862406000,-106.394951000,5199.2,78.1,-1.3,17.611,204.76,,,,,,,
T,42.862429000,-106.394275000,5197.6,80.5,-1.6,17.645,181.44,,,,,,,
T,42.862524000,-106.382731000,5164.1,87.5,-0.4,18.232,3095.36,,,,,,,
T,42.862526000,-106.382246000,5145.8,88.4,0.6,18.256,130.04,,,,,,,
T,42.862532000,-106.381132000,5187.7,89.1,1.0,18.313,298.69,,,,,,,
T,42.862563000,-106.377838000,5224.8,89.3,4.8,18.480,883.25,,,,,,,
T,42.862610000,-106.376690000,5243.5,89.2,4.4,18.538,308.28,,,,,,,
T,42.862744000,-106.375424000,5257.7,87.6,3.4,18.603,342.93,,,,,,,
T,42.863692000,-106.368173000,5312.7,83.5,2.7,18.977,1974.57,,,,,,,
T,42.863793000,-106.367397000,5314.1,82.9,1.2,19.017,211.29,,,,,,,
T,42.863989000,-106.365900000,5312.5,80.7,0.9,19.095,407.67,,,,,,,
T,42.865045000,-106.357689000,5306.9,80.1,-0.2,19.518,2234.84,,,,,,,
T,42.865371000,-106.355206000,5305.0,79.9,-0.2,19.646,676.23,,,,,,,
T,42.865503000,-106.354136000,5304.7,80.0,-0.2,19.701,290.88,,,,,,,
T,42.865666000,-106.352823000,5304.8,80.0,-0.0,19.769,357.00,,,,,,,
T,42.865742000,-106.352206000,5305.4,80.1,0.1,19.800,167.72,,,,,,,
T,42.866028000,-106.350183000,5306.6,79.9,0.0,19.905,552.30,,,,,,,
T,42.866107000,-106.349598000,5306.1,79.8,0.0,19.935,159.46,,,,,,,
T,42.866173000,-106.349176000,5304.9,79.6,-0.1,19.957,115.67,,,,,,,
T,42.866244000,-106.348782000,5305.0,79.0,-0.6,19.978,108.76,,,,,,,
T,42.866291000,-106.348568000,5304.3,78.4,-0.5,19.989,59.88,,,,,,,
T,42.866370000,-106.348209000,5303.1,76.7,-0.3,20.008,100.46,,,,,,,
T,42.866452000,-106.347860000,5303.6,74.8,-0.6,20.027,98.22,,,,,,,
T,42.866520000,-106.347580000,5303.5,73.5,-0.5,20.042,79.05,,,,,,,
T,42.866594000,-106.347282000,5302.6,72.3,-0.1,20.058,84.32,,,,,,,
T,42.866681000,-106.346979000,5302.2,71.5,-0.2,20.074,87.20,,,,,,,
T,42.866773000,-106.346681000,5302.7,70.2,-0.3,20.091,86.65,,,,,,,
